"","x","freq"
"136","Mexrom SA de CV (La Sirena)",622
"137","Middle East-Fuji Llc.",1513
"138","Middle East Fuji Khimji’s Co. Llc",1295
"139","Migros Ticaret A.S.",33
"140","Mistral Shipchandler",163
"141","Möller & Böttger GmbH",3296
"142","MorSnab Service",91
"143","Mustafa Gözlü",17
"144","National Ship Chandler +Cape Town",170
"145","National Ship Chandler +Durban",5486
"146","National Ship Chandlers +Port Elizabeth",454
"147","Neko Ship Supply B.V.",14737
"148","Neko Ship Supply SL",3859
"149","Neptun Ship Service Ltd",243
"150","Neptune Management Co. Ltd",348
"151","Neptune Port Services, Inc Ship Chandlers",43
"152","Nova Supply Services",23
"153","Novo Shipservice Ltd 
",512
"154","O.E. Durant Inc.",181
"155","Ocean Marine Service International LLC",1538
"156","Okyanus Ticaret Ramazan Yilmaz",1
"157","Omnis D.O.O",1098
"158","One Korea CO LTD",317
"159","Orizon Maritima Sao Luis",354
"160","OSS Maritime Group Australia Pty Ltd",792
"161","Oy Shipstores Nyman & Co Ltd",32
"162","Özkan Teknik Emniyet Malz.San.Tic.Ltd.Sti.",2
"163","Paria Ship Suppliers Ltd",91
"164","Peltz Marine Inc",119
"165","Penguin Shipping Enterprises (Pvt) Ltd. ",737
"166","Penta Shipping Services",9
"167","Pernis",886
"168","Pernis ",132
"169","Philipines Ship Services",75
"170","Piri Reis Kumanyacilik ve Denizcilik Hiz. Dis. Tic. Ltd. Sti.",1789
"171","PNG Scoccimarro S.R.L.",698
"172","Probucam S A",97
"173","Promar Augusta S.r.l.",900
"174","Promed - Provveditorie Marittime Del Mediterraneo S.R.L",1334
"175","Provisiones Pagan, S.L.",1187
"176","Provvedinavi S.r.l.",651
"177","Quality Ship Suppliers SA DE CV",475
"178","R & G Dekytspotter Atlantic",1573
"179","Rammi Food Gida Servis Hiz. Tic.A.S.",4144
"180","Ranapoj Ship Supplies and Services",32
"181","Reliable Ship Supply INC",169
"182","RG Ship Supply Services Guyana SA",97
"183","RMS Marine & Offshore Service Pte Ltd",4398
"184","Rms Marine Service Company Ltd.",74
"185","Royal Maritime & Services",1011
"186","S A S Ghesquiers Jpg",1264
"187","Salvo Grima & Sons Ltd",200
"188","San Antonio Marketing Enterprises Inc 
",1883
"189","Sea Pride Enterprises",61
"190","Sea Service Supply Co. Ltd",280
"191","Sea Smart",66
"192","Seagulf Marine Industries Inc 
",129
"193","Seatron Shipping",1369
"194","Sedres Maritime",1464
"195","Seven Seas Marine Services W.L.L.",68
"196","Seven Seas Maritime Services INC.	
",505
"197","Seven Seas Maritime Services Singapore Pte Ltd",285
"198","Seven Seas Oman",483
"199","Ship Food Supply & Services Sdn. Bhd.",494
"200","Ship Supply International",5782
"201","Shipchandling Nabi Mohamed Kamoel Zamaan",511
"202","Simsekler Genel Kumanyacilik Dis Tic. Ve San. A.S.",998
"203","Simsekler Gida Gemi Söküm Insaat San. Ve Tic. LTD.STI 
",272
"204","Smarsa Shipping MTHN",418
"205","Sonino -Provveditoria Marittima Sonino S.R.L.",3804
"206","Sophus E. Johnsen & Co s Eftf. (Skibsskaarup)",204
"207","Southern Cross Marine Supplies Pty Ltd",244
"208","Spry Asia Group Co. Ltd.",111
"209","Straits Marine Supply Pte Ltd",13254
"210","Strides Enterprise",201
"211","Suisca S.L.",1704
"212","Sumanorte General Ship Chandlers",188
"213","Suriname Shipchandler            ",1026
"214","Suvimar S.L.",1621
"215","Svr Schiffsversorgung Rostock Gmbh",34
"216","Tai Mond Supply LO LTD",576
"217","Tefon Oilfield Services Sarl",28
"218","Tok Makina Ins. Turz. Oto Elekt. Tamir Bakim Kuaför Yemek Hiz. San. Ve Tic. Ltd. Sti.",496
"219","Total Marine Supply & Logistics Pty Ltd",67
"220","Tradewind Suppliers ",35
"221","Trans - Mar Services Ltd.",481
"222","Transamerica Ship Suppliers - Perenne S.A.",1582
"223","Unimars Ltd.",2449
"224","United Ship Chandler Thoumas M.N.",80
"225","United Shipchandlers Limited",2091
"226","United Shipchandlers Ltd.",770
"227","Uplass Ambalaj Sanayi Ve Ticaret A.S.",4
"228","Vacutech Shipping Services Ltd.",471
"229","Valparaíso Ship Service S.A.",166
"230","Vanos Ship Supply",5905
"231","Vendor Capanoglu",2389
"232","Venüs Kumanyacilik ve Lojistik Hizmetleri San. ve Tic. A.S",150
"233","Vitoria Ship Supply",370
"234","Vizyon Ambalaj Satis Dagitim Ltd.Sti.",1
"235","Voltar Kumanyacilik ve Gida Ürünleri Iç ve Dis Tic.San.Ltd.Sti",152
"236","Weser Shipstores Gmbh",145
"237","West Coast Ship Supply",90
"238","World Clean Internatinal S.A.",372
"239","World Ship Supply",279
"240","World Ship Supply Inc.",595
"241","Wrist Europe Marseille / Eafm",1217
"242","Wrist Middle East (UAE) LLC 
",815
"243","Wrist Ship Supply Denmark ",222
"244","Wrist USA (Houston) Inc 
",96
"245","Yado Gida Ürünleri Sanayi Ve Tic A.S.",505
"246","Zak Shipstores",1179
"247","Zeus Marine Kumanyacilik",12311
